3y3s (JMBS FUNKOT RMX),5,11,14,17
A Lasting Promise,7,14,17,19
Alice Maestera,2,7,10,14
All Clear!!,5,11,14,17
Altale,5,10,13,17
Apocrypha,5,10,14,17
Aragami,6,11,15,17
Arcade Prison,5,11,14,17
Aurora(Latinized Style),4,9,13,15
Awakening,7,14,17,19
ECHIDNA,6,12,15,18
EDEN of TRUTH,5,10,13,17
Engraved Mark-Gow's ill! RMX-,6,10,13,16
Evans,6,13,16,18
HP:1,6,12,15,18
I,8,15,18,20
I feel something for you,2,7,12,15
If,5,11,14,17
ILL-STARRED Diver,5,11,13,17
iLLness LiLin,7,15,17,20
Immortal saga,6,13,16,18
infinite:youniverse,6,11,14,17
Inscape,6,11,14,17
Invisible Full Moon 古屋直雪 remix,4,10,13,16
Iridescent Clouds,6,11,14,17
It's a new day!,4,7,12,16
OPEN MY GATE,5,12,15,18
Oriens,6,12,15,17
ΩVERSOUL,6,13,16,18
ULTiMATE INFLATiON,6,13,16,18
VAMPIRE,4,8,12,16
Victim of Nights,6,12,15,18
Vigor,5,11,14,17
We Go Down,6,11,15,18
Wings of Glory,6,12,15,18
アワデコノヨヲ,5,12,15,17
インビジブル,5,11,14,16
インフルエンサー・イズ・デッド,2,10,13,16
オトゲラヴ！,5,8,12,16
おにいちゃんハイテック,5,10,13,17
オンディーヌの泪,6,11,14,17
斑鳩,3,8,13,16
永遠に幸せになる方法、見つけました。,4,10,13,18
炎夏の音,5,10,14,17
裏表ラバーズ,3,8,12,16
朧 (kamome sano remix),4,10,14,15
Candy Star,4,10,13,16
CARNIVOROUS,5,11,13,17
Carry Me Away,5,11,14,17
Chaotic Romance,6,11,14,17
Chrono Diver -PENDULUMs-,7,14,17,19
Claidheamh Soluis-光の剣- feat.はるの,4,8,13,16
Cloud 9,6,13,16,18
cobalt,5,11,14,17
couleur automnes de chocolat,4,10,14,16
crossing blue,6,13,16,18
Crystallize Forest,3,8,11,15
CUTE-Reflection,6,11,14,17
Game Over,5,11,14,17
Gamerz FestivaL,6,13,16,18
Gate of Atlantis,6,13,15,18
Gaze ft. 紫崎 雪,5,10,12,15
GERBERA,6,12,16,18
GERBERA -For Finalists-,7,13,17,19
Ghost Trigger,6,12,15,18
Glitter Flatter Scatter,6,13,16,18
Goddess Bless you,6,12,15,18
Gorgetech,5,12,15,18
Grand-Guignol,6,12,16,18
KAC 2013 ULTIMATE MEDLEY-HISTORIA OUND VOLTEX- Empress Side,7,13,19,19
Khionos TiARA,6,13,16,18
KIMIDORI Streak!!,6,12,15,18
QUAKE,4,11,14,17
からくりピエロ,2,8,12,16
キュリオシティ,6,12,15,18
きゅん×きゅんばっきゅん☆LOVE,4,10,12,15
